characters,web_name
\n,Enter
\b,Backspace
\t,Tab
\s,Space
-,Minus
=,Equal
[,BracketLeft
],BracketRight
\,Backslash
;,Semicolon
',Quote
`,Backquote
",",Comma
.,Period
/,Slash
<Esc>,Escape
<Enter>,Enter
<CapsLock>,CapsLock
<F1>,F1
<F2>,F2
<F3>,F3
<F4>,F4
<F5>,F5
<F6>,F6
<F7>,F7
<F8>,F8
<F9>,F9
<F10>,F10
<F11>,F11
<F12>,F12
<PrintScreen>,PrintScreen
<Insert>,Insert
<Home>,Home
<PageUp>,PageUp
<Delete>,Delete
<End>,End
<PageDown>,PageDown
<ArrowRight>,ArrowRight
<ArrowLeft>,ArrowLeft
<ArrowDown>,ArrowDown
<ArrowUp>,ArrowUp
<ControlLeft>,ControlLeft
<ShiftLeft>,ShiftLeft
<AltLeft>,AltLeft
<MetaLeft>,MetaLeft
<ControlRight>,ControlRight
<ShiftRight>,ShiftRight
<AltRight>,AltRight
<MetaRight>,MetaRight
<Pause>,Pause
<Power>,Power